name,year,director,pic_sm,pic_lg,trailer,description
Blanca nieves y los siete enanos,1937,David Hand ,imagen-chica-1.jpeg,imagen-grande-1.jpeg,https://www.youtube.com/watch?v=irhNvQuMmBA&ab_channel=EsenciaDisney,"La malvada madrastra de Blancanieves no puede soportar que la belleza de la joven sea superior a la suya y decide acabar con su vida. La bellísima Blancanieves consigue refugiarse en una minúscula cabaña del bosque en la que habitan siete simpáticos enanitos. A pesar de todo, la cruel madrastra consigue dar con su paradero y la envenena con una manzana. El veneno sumirá a la joven en un sueño eterno del que tan sólo un príncipe azul podrá despertarla.
"
La cenicienta,1950,"Clyde Geronimi, Wilfred Jackson,
Hamilton Luske",imagen-chica-2.jpeg,imagen-grande-2.jpeg,https://www.youtube.com/watch?v=6iNlg_y9VDA&ab_channel=SoldierBoy,"Con una malvada madrastra y dos hermanastras celosas que la mantienen esclavizada y en harapos, Cenicienta no tiene oportunidad de asistir al baile real, hasta que aparece su hada madrina."
La bella durmiente,1959,"Clyde Geronimi, Les Clark, 
Eric Larson, Wolfgang Reitherman",imagen-chica-3.jpeg,imagen-grande-3.jpeg,https://www.youtube.com/watch?v=JGVCCyts7OE&ab_channel=kitustrailers,Tres hadas madrinas y un apuesto príncipe salvan a la princesa Aurora de la maldición de la bruja Maléfica.
La sirenita,1989,"Ron Clements, John Musker",imagen-chica-4.jpeg,imagen-grande-4.jpeg,https://www.youtube.com/watch?v=SKCuxZJxTq8&ab_channel=SoldierBoy,"La sirena Ariel está fascinada por el mundo de los humanos, pero su padre le prohíbe relacionarse con ellos. En un viaje secreto, se enamora de un humano y recurre a una perversa hechicera para que, mediante un conjuro, su amor triunfe.
"
La bella y la bestia,1991,"Kirk Wise, Gary Trousdale",imagen-chica-5.jpeg,imagen-grande-5.jpeg,https://www.youtube.com/watch?v=HMka2HdMu4Y&ab_channel=Alegrotix,"Una doncella francesa toma el lugar de su padre secuestrado en el castillo encantado de un príncipe embrujado, el amor es lo único que podrá devolverle su forma humana.
"
Aladdin,1992,"Ron Clements, John Musker",imagen-chica-6.jpeg,imagen-grande-6.jpeg,https://www.youtube.com/watch?v=DfTACfocw1M&ab_channel=SoldierBoy,"Aladdin es un ingenioso joven que vive en una extrema pobreza, y que sueña con casarse con la bella hija del sultán, la princesa Yasmine. El destino interviene cuando el astuto visir del Sultán, Yafar, recluta a Aladdin para que le ayude a recuperar una lámpara mágica de las profundidades de la Cueva de las Maravillas. Aladdin encuentra una lámpara maravillosa con un genio dentro, y sus deseos comienzan a hacerse realidad."
Pocahontas,1995,"Mike Gabriel, Eric Goldberg",imagen-chica-7.jpeg,imagen-grande-7.jpeg,https://www.youtube.com/watch?v=jh-cREsUISU&ab_channel=SoldierBoy,"Pocahontas es la hija de Powhatan, el jefe de una tribu india de América del Norte. Un día observa la llegada de un grupo de colones ingleses, encabezados por el ambicioso gobernador Radcliff y el valiente capitán John Smith. Acompañada de sus compañeros animales, Pocahontas entabla una amistad con el capitán John Smith. Sin embargo, la ambición de los colonos hace que surjan tensiones entre las dos culturas. Entonces Pocahontas deberá encontrar una manera de lograr la paz entre los dos bandos."
Mulan,1998,"Tony Bancroft, Barry Cook",imagen-chica-8.jpeg,imagen-grande-8.jpeg,https://www.youtube.com/watch?v=rmCAg6RbkTE&ab_channel=SoldierBoy,"El ejército de los Hunos, encabezado por el malvado Shun Yiu, quiere conquistar China. El emperador, para impedírselo, ha mandado a filas a todos los varones con el fin de proteger el imperio. Por otra parte, Mulán es una chica joven y valiente que vive en una aldea. Su padre está enfermo pero a pesar de ello quiere luchar por su país. Mulán no lo va a consentir y se fugará de casa con la intención de hacerse pasar por un chico y combatir en lugar de su padre.
"
La princesa y el sapo,2009,"Ron Clements, John Musker",imagen-chica-9.jpeg,imagen-grande-9.jpeg,https://www.youtube.com/watch?v=syMkl9U-oAM&ab_channel=16darkside,"La trabajadora y ambiciosa, Tiana sueña con abrir el restaurante más fino de Nueva Orleans. Su sueño se desvía un poco cuando conoce al príncipe Naveen, quien ha sido transformado en un anfibio por el Dr. Facilier. Confundiéndola con una princesa y esperando romper el hechizo, Naveen le da un beso a la pobre Tiana, transformándola en una rana. La pareja vive una gran aventura por los pantanos para buscar la ayuda de una poderosa sacerdotisa vudú."
Enredados,2010,"Nathan Greno, Byron Howard",imagen-chica-10.jpeg,imagen-grande-10.jpeg,https://www.youtube.com/watch?v=zQL4bpAEROs&ab_channel=JustTrailersHD,"Flynn rider, el más buscado y encantador bandido del reino, se esconde en una misteriosa torre y allí se encuentra con Rapunzel, una bella y avispada adolescente con una cabellera dorada de 21 metros de largo, que vive encerrada allí desde hace años. Ambos sellan un pacto, y a partir de ese momento la pareja vivirá emocionantes aventuras en compañía de un caballo superpolicía, un camaleón sobreprotector y una ruda pandilla de matones."
Valiente,2012,"Mark Andrews, Brenda Chapman,
Steve Purcell",imagen-chica-11.jpeg,imagen-grande-11.jpeg,https://www.youtube.com/watch?v=T8soqG77PSQ&ab_channel=Cin%C3%A9polis,"Merida, la impetuosa y valiente hija de un rey escocés Fergus y de la reina Elinor, es una hábil arquera que desea surcar su propio camino en la vida. Su desafío a una vieja tradición molesta a los señores y provoca un caos en el reino. Merida busca ayuda con una bruja excéntrica, que le concede un deseo malogrado. Ahora, Merida debe descubrir el significado del coraje y deshacer una maldición bestial antes de que sea tarde."
Moana,2016,"Ron Clements, John Musker",imagen-chica-12.jpeg,imagen-grande-12.jpeg,https://www.youtube.com/watch?v=lspROtOesbo&ab_channel=MxTrailersLatinoam%C3%A9rica,"Vaiana Waialiki es una joven entusiasta del mar y la única hija de un jefe marinero. Cuando los marineros de su aldea no pueden pescar ningún pez y todas las cosechas fallan, Vaiana descubre que el semidiós Maui causó el infortunio después de robar el corazón de la diosa Te Fiti. La única manera de salvar el destino de la isla es persuadiendo a Maui para que le devuelva el corazón a Te Fiti. Entonces, Vaiana emprende una arriesgada aventura para salvar a su aldea junto al semidiós Maui.
"